notes,has_complication,ssn,hospital
high risk,True,564-43-2245,AR
high risk,True,546-79-7036,AK
high risk,False,181-59-8249,AL
high risk,False,032-13-5099,AR
high risk,False,865-44-1637,AZ
normal risk,False,091-70-5454,AL
high risk,True,013-77-3682,AR
high risk,False,061-65-4778,AR
high risk,True,061-30-4890,AZ
high risk,False,778-28-1283,AR
normal risk,False,457-67-6980,AL
normal risk,False,882-29-4577,AZ
normal risk,False,270-05-8627,AK
normal risk,True,266-93-6351,AK
high risk,True,359-83-4973,AL
normal risk,False,002-72-5750,AK
normal risk,False,533-95-5182,AL
normal risk,False,608-97-3752,AL
high risk,False,375-01-7857,AK
high risk,True,520-47-7054,AR
high risk,True,187-59-4035,AK
normal risk,False,321-44-2266,AL
normal risk,False,093-19-2978,AK
high risk,False,319-85-0183,AR
high risk,False,127-68-4615,AK
high risk,False,418-14-9703,AZ
high risk,False,513-63-2179,AR
high risk,False,039-51-4034,AZ
high risk,False,502-60-4927,AZ
high risk,True,705-24-0566,AZ
normal risk,False,357-42-5430,AZ
high risk,True,187-66-9381,AZ
high risk,False,883-39-0041,AR
high risk,True,671-37-0999,AZ
normal risk,False,539-80-1054,AR
high risk,False,539-29-2363,AR
high risk,True,162-19-6022,AR
high risk,False,625-27-0790,AR
high risk,False,359-18-9777,AZ
high risk,False,819-80-1401,AR
high risk,False,560-76-4664,AR
high risk,False,476-67-2762,AL
high risk,True,853-91-7094,AK
high risk,False,299-16-5946,AZ
normal risk,False,206-91-7693,AL
high risk,True,870-46-4272,AZ
high risk,False,767-44-1470,AR
high risk,False,208-19-1296,AL
normal risk,False,235-64-2860,AL
high risk,False,594-60-1575,AZ
high risk,False,645-71-5899,AR
high risk,False,310-42-1584,AL
high risk,False,231-96-7501,AZ
high risk,True,294-55-7322,AL
high risk,False,520-37-0418,AL
normal risk,True,010-93-6132,AL
high risk,False,766-70-4383,AZ
normal risk,False,223-31-9666,AZ
high risk,True,236-67-7029,AR
high risk,False,847-34-9964,AR
normal risk,False,795-49-4918,AK
high risk,False,630-70-8089,AK
high risk,False,264-98-0663,AZ
normal risk,True,633-22-9383,AK
high risk,True,637-18-2650,AR
high risk,False,445-10-2669,AL
high risk,False,101-18-7569,AR
high risk,False,748-70-5602,AK
high risk,False,520-28-8773,AR
high risk,True,135-53-7760,AR
high risk,False,737-79-5021,AZ
high risk,False,879-29-7843,AK
high risk,False,543-47-9548,AK
high risk,True,607-76-4675,AL
normal risk,True,418-34-6486,AZ
normal risk,False,662-11-6752,AR
high risk,False,824-60-2470,AK
normal risk,True,012-12-3122,AL
high risk,False,581-81-8200,AZ
normal risk,False,370-36-2388,AK
normal risk,False,225-15-6426,AK
high risk,True,563-19-0678,AZ
high risk,False,522-49-3384,AK
high risk,False,884-69-9634,AL
normal risk,False,267-10-9408,AR
normal risk,False,273-36-5517,AZ
high risk,False,090-22-6296,AK
high risk,False,630-17-7723,AK
high risk,False,569-81-0315,AK
normal risk,False,041-46-5491,AR
high risk,False,037-58-8504,AL
high risk,True,855-64-0131,AK
high risk,False,422-38-2371,AZ
high risk,False,446-27-5828,AR
high risk,False,768-41-1650,AR
high risk,True,728-88-4097,AK
normal risk,False,134-95-2983,AZ
high risk,False,396-73-1096,AR
normal risk,False,024-75-3779,AZ
high risk,False,798-37-2102,AR
high risk,False,249-45-6914,AK
high risk,False,274-12-3874,AK
high risk,False,308-21-7894,AR
high risk,False,589-52-9943,AL
normal risk,False,402-56-6194,AK
high risk,False,197-75-6284,AZ
normal risk,False,105-31-4707,AL
high risk,False,055-94-9347,AK
normal risk,True,616-09-2453,AL
normal risk,False,233-42-2182,AL
high risk,True,600-79-2170,AR
normal risk,False,031-16-1138,AR
high risk,True,477-14-1157,AR
normal risk,True,208-99-8063,AR
high risk,False,583-97-6310,AR
high risk,False,815-49-0102,AR
high risk,False,747-06-2195,AR
high risk,False,046-29-7288,AL
high risk,False,523-46-6091,AK
high risk,False,609-27-5891,AZ
high risk,False,270-22-6742,AZ
high risk,False,183-89-2439,AK
high risk,False,600-49-0954,AZ
normal risk,True,495-05-4346,AR
normal risk,True,775-68-0302,AL
high risk,False,356-86-8040,AR
high risk,False,408-62-7263,AZ
high risk,False,381-88-6128,AZ
high risk,False,624-03-5936,AZ
normal risk,False,405-16-2591,AZ
high risk,False,520-11-4270,AL
high risk,False,813-85-2061,AZ
high risk,False,774-87-1464,AK
high risk,False,703-35-2395,AZ
normal risk,False,125-42-3123,AK
high risk,False,512-22-1721,AL
high risk,False,014-85-5838,AR
high risk,True,474-79-6859,AR
high risk,False,224-03-2278,AK
normal risk,False,168-30-8993,AZ
high risk,True,354-65-1620,AK
normal risk,False,726-51-4577,AR
high risk,False,164-81-2207,AR
high risk,True,166-34-4326,AR
high risk,False,592-87-4719,AK
high risk,False,083-03-7523,AK
high risk,False,528-56-5333,AR
normal risk,True,090-60-8465,AL
high risk,False,409-51-5604,AR
high risk,False,773-21-1487,AK
high risk,True,450-58-6098,AR
normal risk,True,668-91-3656,AR
high risk,False,087-15-4050,AZ
high risk,True,173-75-8809,AK
high risk,False,007-12-2445,AK
high risk,False,575-49-8465,AZ
high risk,False,744-73-6685,AR
high risk,False,827-30-2981,AL
high risk,False,245-35-5212,AL
high risk,False,031-52-2793,AL
high risk,True,864-84-6543,AL
high risk,False,098-56-3007,AL
high risk,False,800-18-4559,AR
high risk,True,875-34-4705,AR
normal risk,True,759-86-8975,AR
normal risk,False,608-16-3023,AK
high risk,False,537-76-8087,AZ
high risk,False,565-48-0723,AL
high risk,False,664-18-9152,AK
high risk,True,150-79-5838,AZ
high risk,True,640-69-8507,AZ
high risk,True,307-84-3449,AR
normal risk,False,840-08-1038,AL
high risk,True,001-11-3301,AK
high risk,True,281-21-8511,AL
normal risk,False,152-11-3524,AR
high risk,False,599-84-3911,AR
high risk,False,867-08-7202,AZ
high risk,False,355-68-4438,AR
normal risk,True,149-82-1289,AR
normal risk,True,264-54-2109,AR
high risk,True,676-99-8796,AK
normal risk,False,489-58-5137,AK
normal risk,False,059-65-7471,AZ
normal risk,False,887-71-0365,AK
normal risk,True,214-90-9811,AL
normal risk,True,394-55-2793,AL
normal risk,True,234-16-4141,AL
normal risk,False,030-68-8994,AZ
normal risk,False,729-77-6822,AZ
high risk,False,842-60-9910,AR
high risk,False,226-64-8659,AL
normal risk,True,384-45-1654,AZ
high risk,False,741-28-7229,AZ
normal risk,False,304-90-8586,AK
high risk,False,189-80-2824,AK
normal risk,False,242-86-2964,AK
high risk,True,865-03-4619,AL
high risk,False,860-67-1809,AL
high risk,False,042-84-6898,AL
normal risk,True,588-58-8060,AR
high risk,False,344-23-1996,AR
normal risk,False,114-67-0916,AZ
high risk,False,187-85-1731,AR
normal risk,False,019-53-6555,AZ
high risk,False,698-02-3599,AR
high risk,False,054-79-6388,AK
normal risk,False,667-05-0308,AK
high risk,True,232-61-1988,AZ
high risk,True,839-39-4942,AK
high risk,False,534-23-2008,AL
high risk,False,594-34-0694,AR
normal risk,True,040-44-1399,AZ
high risk,False,851-60-0131,AL
normal risk,True,684-49-5756,AZ
high risk,False,302-42-7768,AZ
normal risk,False,736-26-9054,AZ
high risk,False,012-57-7216,AK
normal risk,False,368-72-8146,AL
high risk,False,519-94-2527,AR
normal risk,False,662-36-9357,AK
high risk,True,431-60-7473,AR
normal risk,False,389-87-1365,AL
high risk,False,066-63-9900,AR
high risk,False,092-72-1352,AK
normal risk,False,207-59-7305,AR
normal risk,False,673-16-5371,AK
high risk,True,207-08-5044,AR
high risk,False,039-94-2383,AR
high risk,False,034-38-5555,AZ
normal risk,False,824-71-5931,AK
high risk,True,516-12-2667,AR
high risk,True,093-17-5286,AK
high risk,False,874-82-2741,AL
high risk,False,191-33-9096,AR
normal risk,False,702-13-2050,AR
normal risk,False,848-18-0612,AL
normal risk,True,688-91-7639,AL
high risk,False,693-55-3945,AZ
normal risk,False,455-34-3221,AR
high risk,False,228-20-4052,AZ
high risk,False,484-67-0212,AR
high risk,False,746-07-8832,AL
normal risk,False,653-16-3144,AZ
normal risk,False,610-61-5843,AZ
normal risk,False,505-98-5154,AR
high risk,False,177-83-3886,AZ
high risk,False,041-38-7947,AL
normal risk,False,226-62-0008,AL
high risk,True,206-78-0527,AL
high risk,False,723-29-3896,AL
normal risk,False,893-49-8796,AR
normal risk,True,041-28-2597,AK
high risk,False,091-73-0354,AZ
normal risk,False,887-36-4319,AR
high risk,False,782-26-0465,AL
high risk,True,843-75-2716,AK
normal risk,False,377-72-9716,AR
high risk,False,245-19-4745,AL
high risk,False,427-01-1685,AZ
normal risk,False,775-32-4165,AL
high risk,True,521-44-1804,AK
high risk,False,279-90-0389,AR
high risk,True,535-20-1622,AL
high risk,False,472-80-6129,AZ
normal risk,False,489-39-7414,AK
normal risk,False,812-83-2653,AL
high risk,False,449-25-1611,AR
high risk,False,356-39-4721,AR
normal risk,False,581-87-9019,AK
normal risk,False,348-51-5301,AK
normal risk,True,780-79-3645,AZ
normal risk,False,153-18-6540,AK
high risk,False,500-61-7678,AL
high risk,True,593-04-0341,AL
normal risk,True,023-60-9665,AL
normal risk,False,831-93-6658,AK
normal risk,False,498-27-6014,AK
high risk,True,121-78-5112,AR
normal risk,False,701-40-7471,AR
high risk,True,853-24-7933,AZ
high risk,False,299-96-9889,AZ
high risk,False,749-23-1401,AK
high risk,False,389-84-5015,AL
high risk,False,111-94-1416,AZ
high risk,False,500-99-6972,AZ
high risk,False,164-74-2620,AZ
high risk,False,655-47-3294,AK
normal risk,False,082-36-4671,AZ
normal risk,False,663-80-3010,AR
high risk,False,258-63-5206,AK
high risk,False,038-81-0909,AZ
high risk,False,556-13-0583,AZ
high risk,False,674-22-0822,AZ
high risk,False,560-55-0385,AR
high risk,False,027-40-8630,AR
high risk,False,291-14-7744,AZ
high risk,True,738-50-5761,AR
high risk,False,617-61-4130,AZ
high risk,False,117-81-1487,AZ
high risk,False,252-89-9209,AL
high risk,True,696-95-6036,AZ
normal risk,False,795-31-4235,AK
normal risk,False,209-69-3349,AR
high risk,False,251-68-4267,AK
high risk,True,159-93-7603,AK
normal risk,False,598-04-3123,AL
high risk,False,751-45-0116,AK
high risk,False,379-70-7861,AL
high risk,False,564-05-0326,AR
high risk,False,298-18-4323,AK
high risk,True,483-73-4947,AL
high risk,False,159-25-5650,AR
normal risk,False,846-73-8133,AZ
high risk,False,886-96-3560,AZ
high risk,False,443-03-0649,AK
normal risk,True,617-97-2725,AR
normal risk,False,776-59-5116,AL
high risk,False,753-54-7648,AR
normal risk,True,057-05-9301,AL
high risk,False,355-12-9025,AK
high risk,False,498-72-7558,AR
high risk,False,742-88-5650,AK
normal risk,False,618-58-2919,AR
high risk,False,856-11-8875,AK
normal risk,False,323-49-4438,AL
normal risk,False,293-32-1150,AK
high risk,False,189-26-7767,AR
normal risk,False,153-59-1267,AK
high risk,False,074-15-4441,AZ
normal risk,True,027-92-0212,AK
normal risk,False,207-82-9755,AR
normal risk,False,070-38-7017,AZ
high risk,True,113-79-0543,AZ
high risk,False,292-58-9005,AR
high risk,True,389-95-1356,AZ
normal risk,True,510-30-3270,AR
high risk,False,748-44-3093,AZ
high risk,False,215-63-0635,AR
high risk,False,331-25-3553,AL
high risk,False,254-35-1405,AR
high risk,False,064-18-2779,AR
high risk,False,179-47-5861,AR
high risk,False,156-73-6460,AK
normal risk,False,263-90-6719,AZ
high risk,False,810-88-2035,AZ
high risk,False,252-66-3267,AZ
high risk,True,576-04-2115,AR
normal risk,False,135-43-7540,AK
high risk,True,020-14-6315,AK
high risk,False,660-96-1447,AR
high risk,True,287-35-5650,AR
high risk,False,717-42-5507,AR
high risk,False,141-44-9322,AZ
high risk,False,059-97-9068,AL
high risk,False,595-61-3368,AZ
normal risk,False,381-33-3288,AL
high risk,False,432-94-6522,AK
normal risk,True,244-51-1632,AZ
normal risk,False,427-75-9467,AZ
high risk,False,739-43-5048,AK
high risk,False,159-63-6922,AK
high risk,False,346-98-3640,AL
high risk,False,039-65-4966,AK
high risk,True,777-79-2593,AK
high risk,False,078-82-3908,AL
normal risk,False,093-03-5324,AZ
high risk,False,168-33-9049,AZ
high risk,False,829-20-7181,AR
high risk,False,580-06-6919,AZ
high risk,True,427-53-7124,AR
high risk,False,094-82-3713,AR
high risk,False,388-52-2044,AR
normal risk,False,004-97-9495,AK
normal risk,False,118-10-6608,AR
normal risk,False,363-22-6809,AL
normal risk,False,213-48-6606,AZ
normal risk,True,425-81-5694,AR
high risk,True,253-05-5708,AR
high risk,False,283-53-5303,AR
high risk,True,637-67-2917,AL
normal risk,False,794-81-7382,AR
high risk,False,647-85-4238,AR
normal risk,False,575-48-5305,AL
high risk,True,452-32-3361,AZ
normal risk,False,598-97-1685,AR
high risk,False,477-90-7495,AZ
high risk,False,543-71-2443,AL
normal risk,False,538-05-6833,AK
high risk,False,331-46-5070,AL
high risk,False,072-13-3578,AR
high risk,False,645-68-9441,AR
high risk,False,130-50-3905,AL
normal risk,False,256-42-9551,AZ
high risk,False,405-09-2692,AZ
normal risk,False,035-90-2403,AR
high risk,True,410-64-6852,AR
normal risk,False,061-71-3733,AL
high risk,False,156-22-2679,AK
high risk,False,812-05-4059,AR
high risk,False,064-98-0082,AL
high risk,True,800-27-8916,AL
high risk,False,185-26-7396,AZ
high risk,False,832-48-7261,AK
high risk,False,695-83-6543,AZ
high risk,False,094-63-6420,AL
high risk,False,537-27-7770,AZ
high risk,False,559-10-9629,AZ
normal risk,False,417-96-0563,AZ
high risk,False,047-27-2259,AL
normal risk,False,624-27-5423,AR
high risk,False,092-62-2896,AZ
high risk,False,313-18-1249,AL
high risk,False,850-08-2700,AL
high risk,False,182-48-7110,AL
high risk,False,809-52-2965,AL
high risk,False,354-39-0288,AR
high risk,False,102-32-3544,AL
high risk,True,875-53-4799,AL
high risk,False,614-84-1877,AZ
normal risk,False,099-61-1597,AZ
normal risk,False,327-84-5173,AK
normal risk,False,800-25-2586,AL
high risk,False,128-94-7621,AK
high risk,False,591-57-4729,AR
normal risk,False,056-02-5775,AR
high risk,False,734-71-9482,AR
high risk,True,803-18-6367,AR
normal risk,False,266-81-9620,AK
high risk,True,337-88-1771,AZ
normal risk,False,084-87-1605,AR
high risk,False,203-89-2870,AR
high risk,False,425-67-4663,AR
normal risk,False,808-69-1663,AK
high risk,True,596-80-5760,AR
high risk,False,140-15-9690,AZ
high risk,False,445-72-4930,AL
high risk,True,755-05-2814,AK
normal risk,False,770-36-8841,AL
high risk,False,841-34-3963,AR
high risk,False,164-92-7872,AR
normal risk,False,307-70-1698,AZ
high risk,False,259-44-1146,AR
normal risk,False,836-12-0160,AZ
high risk,True,114-06-1001,AL
high risk,False,677-12-4691,AR
high risk,False,559-26-9677,AR
normal risk,False,044-18-4265,AL
high risk,False,335-92-9897,AL
high risk,False,504-27-7591,AL
normal risk,False,164-05-9698,AL
high risk,False,833-76-3529,AK
normal risk,False,897-79-0317,AR
high risk,False,064-37-9621,AK
normal risk,False,809-70-8852,AL
normal risk,False,138-33-6071,AR
high risk,False,803-20-6686,AZ
high risk,False,557-12-0986,AL
high risk,False,836-24-5150,AZ
high risk,False,149-39-3066,AR
normal risk,False,800-37-1068,AZ
high risk,False,180-65-7321,AL
normal risk,False,581-86-5926,AR
normal risk,False,018-78-4075,AK
high risk,True,503-96-2385,AK
high risk,False,618-10-7220,AR
high risk,False,306-46-1675,AR
normal risk,False,542-71-5313,AZ
high risk,False,411-62-1976,AL
high risk,False,304-60-3642,AR
high risk,False,776-03-3020,AL
high risk,False,202-20-3099,AK
high risk,False,647-11-6918,AL
normal risk,True,600-12-1888,AL
high risk,True,492-34-1105,AK
high risk,False,447-37-6620,AR
high risk,True,005-39-7317,AZ
high risk,False,885-84-1130,AK
normal risk,False,501-21-0912,AK
high risk,False,344-54-5297,AZ
high risk,False,499-43-5673,AR
high risk,False,466-66-5816,AK
high risk,False,233-90-3695,AZ
high risk,True,338-39-1580,AK
high risk,False,383-06-4295,AZ
high risk,False,162-85-9401,AR
high risk,True,574-49-9895,AL
normal risk,False,722-64-4004,AL
high risk,False,232-57-8458,AZ
normal risk,True,841-04-3714,AL
high risk,True,677-92-0935,AZ
high risk,True,739-74-0278,AZ
high risk,False,207-46-5727,AR
high risk,True,726-04-4722,AL
high risk,False,140-15-0972,AR
high risk,False,763-49-4118,AZ
normal risk,False,742-32-1111,AL
high risk,True,744-43-7414,AL
high risk,False,644-02-0522,AK
normal risk,False,799-95-1091,AZ
high risk,False,473-08-6211,AR
normal risk,False,247-51-3253,AL
high risk,False,736-30-0346,AR
normal risk,False,154-70-8760,AL
normal risk,False,281-67-2782,AL
high risk,False,731-71-8175,AZ
normal risk,False,679-85-0185,AR
high risk,False,181-35-3941,AK
normal risk,False,068-74-3299,AR
high risk,False,022-95-9248,AZ
high risk,True,798-66-5059,AZ
high risk,False,351-48-3274,AZ
high risk,False,625-83-7657,AL
normal risk,False,510-12-2188,AL
high risk,False,703-24-7976,AZ
high risk,False,691-63-2181,AL
high risk,False,777-85-5823,AK
normal risk,True,086-43-9678,AL
high risk,False,254-15-3241,AR
high risk,False,402-50-5911,AK
high risk,False,249-10-8516,AZ
high risk,False,132-19-6697,AR
normal risk,True,652-11-2668,AL
high risk,False,896-46-4188,AR
normal risk,False,058-93-6674,AZ
normal risk,False,872-51-8743,AK
normal risk,False,190-04-4551,AZ
high risk,True,151-95-9115,AL
high risk,True,219-79-3690,AK
high risk,False,533-31-8969,AK
high risk,False,433-74-9007,AK
normal risk,True,343-87-7833,AZ
high risk,False,085-08-7491,AL
normal risk,False,338-42-7245,AK
high risk,False,751-90-4095,AK
high risk,False,274-95-0674,AK
high risk,False,454-22-7898,AZ
high risk,False,673-93-7630,AZ
high risk,True,331-29-6789,AR
normal risk,False,574-71-5655,AL
normal risk,False,486-71-9921,AZ
high risk,False,657-85-8600,AZ
high risk,True,053-01-5244,AR
high risk,False,554-89-3304,AL
high risk,False,583-59-4522,AL
high risk,False,897-52-7126,AK
normal risk,False,125-05-7586,AR
high risk,False,399-23-6590,AR
normal risk,False,643-18-3252,AR
high risk,False,356-14-6792,AK
normal risk,False,553-73-3377,AL
high risk,False,244-32-7978,AZ
normal risk,False,034-88-0006,AK
normal risk,False,855-33-4720,AL
high risk,False,124-34-7764,AZ
normal risk,False,499-97-2982,AL
high risk,True,883-70-0457,AR
normal risk,True,180-16-6088,AR
high risk,False,810-46-3368,AL
high risk,False,814-67-7700,AK
normal risk,False,155-65-2621,AZ
normal risk,False,065-50-0107,AK
high risk,False,088-42-7114,AK
high risk,True,478-30-7490,AL
high risk,False,250-78-6866,AZ
high risk,False,619-39-0739,AK
normal risk,False,088-70-3510,AK
high risk,True,872-72-4962,AZ
high risk,False,789-60-4771,AL
high risk,False,201-97-9809,AL
high risk,True,128-50-3759,AR
high risk,False,410-97-2796,AL
high risk,True,153-01-9726,AL
normal risk,False,061-16-1130,AK
high risk,False,064-71-2465,AR
normal risk,True,278-13-6379,AR
high risk,False,888-21-4031,AK
normal risk,False,658-88-4053,AK
high risk,False,059-25-3221,AK
normal risk,False,836-09-6746,AR
high risk,False,860-26-7041,AZ
high risk,False,149-16-2451,AK
normal risk,False,714-21-2489,AK
normal risk,True,593-68-4924,AK
high risk,False,674-13-9712,AK
high risk,False,865-18-2049,AK
high risk,True,688-78-5790,AL
normal risk,False,391-17-8456,AZ
high risk,True,321-92-0676,AL
high risk,False,216-40-1245,AK
high risk,False,467-33-1041,AK
high risk,False,165-79-6155,AR
high risk,True,763-52-8421,AR
high risk,True,622-17-3943,AK
high risk,False,450-28-8264,AL
high risk,False,676-28-9099,AK
high risk,True,898-23-9532,AL
high risk,False,814-75-4256,AL
high risk,True,867-27-4373,AR
normal risk,True,714-47-7699,AK
high risk,False,707-89-4290,AK
normal risk,False,287-52-2667,AR
high risk,False,506-20-8540,AR
high risk,True,717-62-9004,AR
normal risk,False,304-90-2044,AL
high risk,False,804-33-7276,AK
normal risk,False,575-72-1661,AK
normal risk,False,484-58-5684,AZ
high risk,False,261-33-9817,AZ
high risk,False,158-99-1891,AR
high risk,False,028-09-6289,AK
normal risk,True,253-73-8557,AR
high risk,True,408-58-0735,AZ
high risk,True,221-70-9102,AZ
normal risk,True,332-17-7482,AR
high risk,False,696-78-6887,AR
normal risk,False,099-95-6483,AR
normal risk,False,464-95-5307,AZ
high risk,True,109-43-0472,AR
high risk,True,524-83-9666,AL
high risk,False,649-16-9821,AK
high risk,False,423-73-3892,AK
normal risk,False,896-48-2802,AL
high risk,True,085-46-4504,AK
high risk,False,619-51-2460,AZ
high risk,False,153-28-3309,AZ
high risk,False,257-51-1437,AL
high risk,False,624-63-0614,AZ
normal risk,False,299-84-7797,AZ
high risk,True,503-90-7463,AZ
high risk,True,660-95-7339,AL
high risk,False,682-88-1805,AL
normal risk,True,510-56-7523,AK
high risk,True,374-73-3091,AK
normal risk,False,419-25-9029,AR
high risk,False,112-53-2773,AK
high risk,True,854-95-4083,AL
high risk,False,665-49-5294,AR
high risk,True,729-15-4369,AL
normal risk,True,562-13-6283,AZ
high risk,False,144-30-7194,AZ
high risk,False,552-75-8912,AL
high risk,False,404-37-5855,AZ
high risk,True,566-14-8283,AK
normal risk,False,201-62-6739,AR
high risk,False,841-12-4933,AR
high risk,False,284-24-4941,AL
high risk,False,117-28-2129,AZ
normal risk,False,086-53-9915,AR
high risk,True,892-29-7865,AK
high risk,False,364-87-3385,AK
normal risk,False,087-05-4564,AR
high risk,False,749-89-1249,AK
normal risk,False,504-87-4633,AL
high risk,False,543-39-3716,AK
high risk,True,888-03-0070,AR
normal risk,False,412-08-8042,AK
high risk,False,734-77-9804,AK
high risk,True,394-33-5044,AR
high risk,False,250-25-5811,AL
normal risk,False,432-12-3133,AZ
high risk,False,213-02-2645,AL
normal risk,True,820-96-3046,AR
normal risk,False,469-26-6145,AZ
high risk,False,403-64-6992,AZ
high risk,False,759-11-2684,AL
normal risk,False,103-06-5957,AL
high risk,False,712-26-3478,AL
high risk,False,579-84-0117,AR
high risk,False,824-91-2363,AK
high risk,False,531-16-3777,AR
high risk,False,150-46-1162,AL
high risk,False,816-94-9508,AZ
normal risk,True,636-85-4594,AL
normal risk,False,142-53-0602,AR
normal risk,True,408-41-7036,AZ
normal risk,False,015-96-5492,AZ
high risk,True,346-49-9515,AZ
normal risk,True,434-66-4030,AK
normal risk,False,770-40-8408,AL
high risk,True,318-19-0848,AZ
high risk,False,132-13-3638,AR
normal risk,False,021-65-3044,AL
normal risk,False,103-15-3418,AK
high risk,False,516-21-5035,AR
high risk,False,553-49-9211,AK
high risk,False,148-78-7093,AZ
high risk,False,181-65-5794,AZ
high risk,True,267-01-0748,AL
high risk,True,422-40-2866,AZ
high risk,False,814-26-6426,AL
high risk,False,889-43-1160,AZ
high risk,False,575-63-2425,AL
high risk,False,474-90-5196,AL
high risk,False,826-13-3154,AL
normal risk,True,835-97-9706,AR
normal risk,False,389-99-0895,AK
high risk,False,128-78-3352,AL
high risk,False,390-28-2453,AZ
high risk,True,175-50-1913,AK
high risk,True,873-94-1309,AK
high risk,True,140-63-5377,AK
high risk,False,070-13-9007,AZ
high risk,False,167-62-7768,AR
high risk,False,466-52-6338,AL
high risk,False,402-21-7908,AR
high risk,False,661-32-6991,AR
normal risk,False,642-24-0483,AK
high risk,True,153-90-2735,AR
high risk,True,287-43-8207,AL
high risk,False,466-78-2321,AK
normal risk,True,728-94-3602,AR
normal risk,True,711-68-5415,AK
high risk,False,141-38-5050,AK
high risk,False,870-17-9835,AR
high risk,True,793-32-8622,AK
high risk,True,716-61-4918,AK
high risk,False,113-54-2615,AZ
normal risk,False,622-38-7232,AZ
high risk,True,084-84-7886,AK
high risk,False,667-13-5745,AK
high risk,False,204-06-3654,AK
high risk,False,382-24-4201,AR
normal risk,True,867-36-0106,AR
high risk,True,690-76-7114,AR
high risk,True,552-49-3033,AK
high risk,False,683-98-3467,AZ
high risk,False,351-85-5586,AR
high risk,False,764-17-3576,AK
normal risk,False,743-14-8311,AL
high risk,False,044-45-9447,AK
normal risk,True,120-26-0375,AZ
high risk,True,600-04-1784,AR
high risk,False,550-93-8556,AK
high risk,False,591-21-7757,AK
high risk,False,332-13-2171,AL
high risk,False,866-99-8315,AK
high risk,False,078-94-6232,AZ
high risk,False,826-99-5009,AL
high risk,False,064-14-8945,AL
normal risk,False,824-59-4507,AL
high risk,False,523-61-0600,AL
normal risk,False,784-64-7979,AZ
high risk,False,260-24-4882,AR
normal risk,False,097-55-4486,AR
high risk,True,685-29-2300,AK
high risk,False,469-69-1328,AR
high risk,False,378-80-8666,AZ
high risk,True,681-73-1923,AR
high risk,False,557-65-7768,AL
high risk,True,550-51-0783,AR
high risk,False,219-15-9597,AL
high risk,False,554-17-0970,AZ
high risk,False,366-30-8166,AK
high risk,True,745-19-6426,AL
high risk,False,828-01-1255,AR
high risk,True,729-59-6111,AL
high risk,False,471-89-9550,AZ
high risk,False,133-69-9228,AK
high risk,False,580-28-6490,AK
high risk,False,356-16-1237,AL
high risk,False,878-21-4065,AK
high risk,False,235-41-0317,AK
normal risk,False,071-24-7340,AK
high risk,True,661-13-4290,AZ
normal risk,True,255-28-5386,AK
normal risk,False,605-49-9234,AZ
normal risk,False,739-40-9225,AL
high risk,False,723-20-0238,AZ
high risk,True,164-63-7919,AR
high risk,False,549-88-2774,AR
normal risk,True,139-10-1144,AK
normal risk,False,057-01-5028,AK
high risk,False,021-32-0973,AZ
high risk,False,880-92-2708,AZ
high risk,True,178-79-0080,AL
normal risk,False,679-73-6411,AR
high risk,False,268-65-3206,AL
normal risk,False,253-07-1290,AR
high risk,False,066-46-4680,AL
high risk,False,777-54-7279,AL
normal risk,False,736-68-2415,AZ
high risk,False,543-66-2199,AL
high risk,False,630-60-1532,AZ
high risk,False,770-43-0736,AZ
normal risk,True,813-18-0955,AL
high risk,False,627-84-8091,AR
high risk,False,040-65-7046,AR
high risk,True,380-30-5634,AZ
normal risk,False,393-12-6976,AK
high risk,False,814-59-2524,AZ
high risk,False,415-14-8396,AR
high risk,False,283-74-1302,AR
normal risk,False,587-40-5983,AL
normal risk,False,397-41-6907,AR
normal risk,False,334-21-6266,AR
high risk,False,662-75-5606,AL
high risk,False,279-95-8488,AZ
high risk,False,380-39-2735,AR
high risk,False,440-25-2716,AR
high risk,False,602-58-5306,AL
normal risk,False,235-59-4046,AL
high risk,False,649-21-0110,AR
normal risk,False,316-97-1739,AZ
high risk,True,070-96-0203,AR
high risk,False,478-71-7245,AK
high risk,True,667-40-5053,AZ
high risk,True,414-23-3912,AR
high risk,False,446-01-0627,AR
high risk,False,469-30-3638,AZ
high risk,False,771-56-4734,AK
high risk,False,089-06-3194,AZ
high risk,True,894-28-5173,AZ
high risk,True,440-90-4909,AL
high risk,False,898-75-0868,AR
high risk,True,325-14-5785,AL
normal risk,False,156-15-0840,AZ
high risk,True,812-65-4868,AR
high risk,False,891-76-4948,AZ
high risk,False,696-46-3699,AL
high risk,True,485-85-2532,AZ
normal risk,True,071-66-2999,AL
normal risk,True,504-75-1521,AR
high risk,False,754-48-5750,AK
normal risk,False,114-69-3484,AZ
high risk,False,679-53-3357,AL
normal risk,False,495-13-9487,AR
high risk,False,822-29-2474,AR
high risk,True,249-86-1717,AR
normal risk,False,526-85-3671,AL
high risk,False,684-29-0508,AZ
high risk,False,164-57-8634,AR
high risk,False,116-31-2306,AZ
high risk,False,106-36-9109,AZ
normal risk,False,127-79-1545,AZ
high risk,False,768-03-0659,AK
normal risk,False,866-99-3640,AK
high risk,True,489-70-5516,AK
high risk,False,392-26-6945,AR
high risk,False,305-32-8312,AK
high risk,False,249-56-7525,AR
high risk,False,390-15-6706,AR
normal risk,True,201-68-7405,AZ
high risk,False,002-49-6810,AZ
